NewQuestion,MC,
QuestionText,"What is hierarchical indexing in pandas?"
Option,0,"A method for sorting a DataFrame by multiple columns"
Option,0,"A way to create nested for loops over DataFrame rows"
Option,100,"A feature that allows multiple levels of labels on a row or column axis"
Option,0,"A technique for storing DataFrames in memory more efficiently"

NewQuestion,MC,
QuestionText,"What is a MultiIndex in pandas?"
Option,100,"An index with two or more levels of labels on an axis"
Option,0,"An index that allows duplicate row labels"
Option,0,"A way to index into multiple DataFrames at once"
Option,0,"A numeric index that supports negative positions"

NewQuestion,MC,
QuestionText,"What does partial indexing allow with a hierarchically indexed Series?"
Option,100,"Selecting a subset of data using only an outer-level label"
Option,0,"Selecting rows by their integer position across all levels"
Option,0,"Filtering rows where any level contains a missing value"
Option,0,"Sorting the index by a specific level"

NewQuestion,MC,
QuestionText,"What does the set_index() method do?"
Option,0,"Replaces the existing index with a sequential integer index"
Option,0,"Sorts the DataFrame by the values in a specified column"
Option,100,"Moves one or more columns into the row index"
Option,0,"Creates a copy of the DataFrame with a new name"

NewQuestion,MC,
QuestionText,"What does reset_index() do to a hierarchically indexed DataFrame?"
Option,0,"Removes all index levels and drops that data"
Option,100,"Moves the index levels back into columns and restores the default integer index"
Option,0,"Sorts the index from the outermost to the innermost level"
Option,0,"Resets the index to start from 1 instead of 0"

NewQuestion,MC,
QuestionText,"What operation does pd.merge() perform?"
Option,0,"Appends one DataFrame to the bottom of another"
Option,0,"Combines DataFrames by aligning on their row indexes"
Option,0,"Concatenates the columns of two DataFrames side by side"
Option,100,"Combines two DataFrames by matching rows based on shared key values"

NewQuestion,MC,
QuestionText,"What does how='inner' produce in pd.merge()?"
Option,0,"All rows from both DataFrames, with NaN for non-matching rows"
Option,100,"Only the rows where the key value appears in both DataFrames"
Option,0,"All rows from the left DataFrame, with NaN where no match exists in the right"
Option,0,"All rows from the right DataFrame, with NaN where no match exists in the left"

NewQuestion,MC,
QuestionText,"What does how='left' produce in pd.merge()?"
Option,0,"Only the rows where the key value appears in both DataFrames"
Option,0,"All rows from the right DataFrame, with NaN in left-side columns where no match exists"
Option,0,"All rows from both DataFrames, with NaN for non-matching rows on either side"
Option,100,"All rows from the left DataFrame, with NaN in right-side columns where no match exists"

NewQuestion,MC,
QuestionText,"What does how='outer' produce in pd.merge()?"
Option,100,"All rows from both DataFrames, with NaN wherever a match does not exist on either side"
Option,0,"Only the rows where the key value appears in both DataFrames"
Option,0,"All rows from the left DataFrame, with NaN where no match exists"
Option,0,"All rows from the right DataFrame, with NaN where no match exists"

NewQuestion,MC,
QuestionText,"In pd.merge(), what does the on= parameter specify?"
