NewQuestion,MC,
QuestionText,"What does pd.read_csv() return?",
Option,100,"A DataFrame",
Option,0,"A list of dictionaries",
Option,0,"A NumPy array",
Option,0,"A Python dictionary",

NewQuestion,MC,
QuestionText,"What is type inference in the context of pd.read_csv()?",
Option,0,"The user specifying what types each column should be",
Option,100,"pandas automatically determining appropriate data types for each column based on the values",
Option,0,"Python converting all data to strings during file reading",
Option,0,"pandas checking that all values in a column are the same type before loading",

NewQuestion,MC,
QuestionText,"If a numeric column contains one text value (like 'UNKNOWN'), what happens when pd.read_csv() reads it?",
Option,0,"pandas raises an error and stops loading",
Option,0,"pandas converts the text value to 0",
Option,100,"pandas treats the entire column as text type",
Option,0,"pandas skips the row containing the text value",

NewQuestion,MC,
QuestionText,"What does pd.read_csv() do automatically when reading a well-formatted CSV file?",
Option,0,"Opens the file, splits on commas, and returns a list of lists",
Option,0,"Converts all values to strings and returns a dictionary",
Option,0,"Reads the file into a NumPy array with automatic type conversion",
Option,100,"Detects headers, splits fields, strips whitespace, and infers data types",

NewQuestion,MC,
QuestionText,"Which statement best describes the relationship between pd.read_csv() and the manual parsing pipeline (open, split, strip, convert, try/except)?",
Option,100,"pd.read_csv() automates the same steps that the manual pipeline performs",
Option,0,"pd.read_csv() uses a completely different approach that has nothing in common with manual parsing",
Option,0,"pd.read_csv() only handles file opening; you still need to split and convert manually",
Option,0,"The manual pipeline is faster but pd.read_csv() uses less memory",

NewQuestion,MC,
QuestionText,"When pd.read_csv() reads a column of whole numbers (like 150, 45, 12), what data type does it assign?",
Option,0,"float64",
Option,0,"object",
Option,100,"int64",
Option,0,"str",

NewQuestion,MC,
QuestionText,"When pd.read_csv() reads a column of decimal numbers (like 9.2, 6.8, 7.5), what data type does it assign?",
Option,0,"int64",
Option,100,"float64",
Option,0,"object",
Option,0,"decimal",

NewQuestion,MC,
QuestionText,"Approximately how many parameters does pd.read_csv() have according to the textbook?",
Option,0,"5",
Option,0,"15",
Option,0,"25",
Option,100,"50",

NewQuestion,MC,
QuestionText,"By default, what does pd.read_csv() assume about the first row of a CSV file?",
Option,100,"It is the header row containing column names",
Option,0,"It is the first row of data",
Option,0,"It contains data type information",
Option,0,"It should be skipped entirely",

NewQuestion,MC,
QuestionText,"What happens if you read a CSV file that has no header row without specifying header=None?",
Option,0,"pandas raises a FileFormatError",
Option,100,"The first data row is incorrectly used as column names",
Option,0,"pandas assigns integer column names automatically",
Option,0,"All values are read as strings",

NewQuestion,MC,
QuestionText,"What does the names parameter in pd.read_csv() allow you to do?",
Option,0,"Rename columns after loading",
Option,0,"Filter rows by name during loading",
Option,100,"Supply your own column names for a file without a header",
Option,0,"Specify which columns contain string data",

NewQuestion,MC,
QuestionText,"What does the index_col parameter in pd.read_csv() do?",
Option,0,"Creates a new index column with sequential integers",
Option,0,"Removes the specified column from the DataFrame",
Option,0,"Sorts the DataFrame by the specified column",
Option,100,"Makes the specified column the row index during loading",

NewQuestion,MC,
QuestionText,"What does the usecols parameter in pd.read_csv() do?",
Option,100,"Loads only the specified columns from the file",
Option,0,"Renames the columns during loading",
Option,0,"Specifies which columns should be numeric",
Option,0,"Sets the order of columns in the resulting DataFrame",

NewQuestion,MC,
QuestionText,"The nrows parameter in pd.read_csv() is useful for:",
Option,0,"Limiting the number of columns loaded",
Option,100,"Inspecting a few rows of a large file before loading everything",
Option,0,"Skipping the first N rows of the file",
Option,0,"Reading only rows that contain numeric values",

NewQuestion,MC,
