NewQuestion,MC,
QuestionText,"What does isnull() return when called on a DataFrame?",
Option,0,"A count of missing values per column",
Option,0,"A list of column names that contain missing values",
Option,100,"A boolean DataFrame showing True where values are missing and False where they are not",
Option,0,"The total number of missing values across all columns",

NewQuestion,MC,
QuestionText,"What does calling .sum() on the result of isnull() give you?",
Option,100,"The number of missing values in each column",
Option,0,"Whether any column has at least one missing value",
Option,0,"The percentage of missing values per column",
Option,0,"The total missing values across the entire DataFrame",

NewQuestion,MC,
QuestionText,"A column contains the string 'UNKNOWN' where a number should be. Why does isnull() report zero missing values for that column?",
Option,0,"isnull() only checks numeric columns for missing data",
Option,100,"'UNKNOWN' is a valid string value, not NaN, so pandas does not recognize it as missing",
Option,0,"The column must be converted to numeric type before isnull() can detect missing values",
Option,0,"isnull() requires you to specify which strings represent missing data",

NewQuestion,MC,
QuestionText,"A column of whole numbers has one blank field. What data type does pandas assign to that column and why?",
Option,0,"int64, because most values are integers and pandas uses the majority type",
Option,0,"object, because any missing value forces a text type",
Option,0,"str, because the blank field is stored as an empty string",
Option,100,"float64, because NaN is a floating-point value and integers cannot represent missing data",

NewQuestion,MC,
QuestionText,"What is the default behavior of dropna()?",
Option,100,"Removes any row that contains at least one missing value in any column",
Option,0,"Removes only rows where every value is missing",
Option,0,"Removes columns that contain missing values",
Option,0,"Removes rows where more than half the values are missing",

NewQuestion,MC,
QuestionText,"What does dropna(subset=['score']) do differently from calling dropna() with no arguments?",
Option,0,"It processes faster by scanning only one column",
Option,0,"It returns a Series instead of a DataFrame",
Option,100,"It only removes rows where the 'score' column is missing, keeping rows that are only missing other columns",
Option,0,"It fills missing values in 'score' instead of dropping the row",

NewQuestion,MC,
QuestionText,"You plan to fill missing values in a column using the column mean. The column also contains a value of 9999 that is almost certainly a data entry error. What is the problem with filling missing values before addressing that outlier?",
Option,0,"fillna() will raise an error if the mean is computed from a column containing extreme values",
Option,100,"The outlier pulls the mean far above the typical values, so the filled value will be just as unrealistic as the outlier itself",
Option,0,"pandas will treat 9999 as a missing value and exclude it from the mean automatically",
Option,0,"The outlier is removed automatically when fillna() detects it is more than two standard deviations from the mean",

NewQuestion,MC,
QuestionText,"When is the median a better choice than the mean for filling missing values?",
Option,0,"When all values in the column are close to the same magnitude",
Option,0,"When the column contains string values mixed with numbers",
Option,0,"When you want the filled value to match the most frequently occurring value",
Option,100,"When the column contains outliers that would pull the mean away from the typical value",

NewQuestion,MC,
QuestionText,"What does pd.to_numeric(errors='coerce') do when it encounters a value that cannot be converted to a number?",
Option,100,"Replaces it with NaN",
Option,0,"Raises an exception and stops execution",
Option,0,"Leaves the value unchanged as a string",
Option,0,"Converts it to 0",

NewQuestion,MC,
QuestionText,"What is the default behavior of pd.to_numeric() when it encounters a non-numeric string?",
Option,0,"Replaces the value with NaN silently",
Option,0,"Skips the value and continues converting the rest",
Option,100,"Raises an exception and stops execution",
Option,0,"Converts the value to 0",

NewQuestion,MC,
QuestionText,"A column loaded as text because it contained placeholder strings. Which approach correctly converts it to a usable numeric column?",
Option,0,"Use fillna() to replace the placeholder strings first, which triggers automatic type conversion",
Option,100,"Use pd.to_numeric(errors='coerce') to convert the column, then fill the resulting NaN values",
Option,0,"Use str.replace() to remove all non-numeric characters, then the column converts automatically",
Option,0,"Use rename() to give the column a numeric-style name, which triggers type inference",

NewQuestion,MC,
QuestionText,"When drop_duplicates() finds rows that are exact copies, which occurrence does it keep by default?",
Option,0,"The last occurrence",
Option,0,"A random occurrence selected each time",
Option,0,"All occurrences are removed",
Option,100,"The first occurrence",

NewQuestion,MC,
QuestionText,"What does drop_duplicates(subset=['name']) do differently from calling drop_duplicates() with no arguments?",
Option,100,"It treats rows as duplicates if only the 'name' column matches, even if other columns differ",
Option,0,"It removes all rows that contain any duplicated value in the 'name' column",
Option,0,"It raises an error if 'name' is not the first column in the DataFrame",
Option,0,"It only checks for duplicates within the 'name' column itself, not across rows",

NewQuestion,MC,
QuestionText,"What happens when map() is called with a dictionary and a value in the column is not a key in that dictionary?",
Option,0,"The original value is preserved unchanged",
Option,0,"An error is raised listing the unmatched value",
Option,100,"The value becomes NaN",
Option,0,"The value is replaced with an empty string",

NewQuestion,MC,
QuestionText,"You call rename(columns={'old_name': 'new_name'}) on a DataFrame that has five columns. Only one column is listed in the dictionary. What happens to the other four columns?",
Option,0,"They are removed from the DataFrame",
Option,100,"They are left unchanged",
Option,0,"They are given sequential default names",
Option,0,"An error is raised because all columns must be included in the rename dictionary",

NewQuestion,MC,
QuestionText,"What is the key difference between map() and fillna()?",
Option,0,"map() works on entire DataFrames while fillna() only works on individual Series",
Option,0,"fillna() uses a dictionary for replacement while map() uses a scalar value",
Option,0,"map() can only be used on numeric columns while fillna() works on any type",
Option,100,"fillna() fills blank cells, while map() replaces existing non-null values based on a lookup",

NewQuestion,MC,
QuestionText,"Why is it useful to run describe() on a numeric column before binning it with pd.cut()?",
Option,0,"pd.cut() requires the output of describe() as one of its inputs",
Option,100,"describe() reveals the range and distribution of values, making it possible to spot outliers that would fall outside the bin edges or distort the categories",
Option,0,"Running describe() first converts the column to the correct numeric type required for binning",
Option,0,"pd.cut() will raise an error if describe() has not been called on the column first",

NewQuestion,MC,
QuestionText,"What does the .loc assignment pattern df.loc[condition, 'column'] = value do?",
Option,100,"Replaces values in the specified column in place for all rows where the condition is True",
Option,0,"Returns a new DataFrame with the replacement applied, leaving the original unchanged",
Option,0,"Adds a new column containing the replacement value for rows matching the condition",
