NewQuestion,MC,
QuestionText,"What is a pandas Series?",
Option,0,"A two-dimensional table with rows and columns",
Option,100,"A one-dimensional labeled array",
Option,0,"A NumPy array without labels",
Option,0,"A Python list optimized for speed",

NewQuestion,MC,
QuestionText,"When you create a Series without specifying an index, what does pandas use as the default index?",
Option,0,"Random unique identifiers",
Option,100,"Sequential integers starting at 0 (0, 1, 2, 3...)",
Option,0,"The values themselves",
Option,0,"Letters (A, B, C, D...)",

NewQuestion,MC,
QuestionText,"Which line of code correctly creates a Series with custom index labels?",
Option,100,"pd.Series([10, 20, 30], index=['A', 'B', 'C'])",
Option,0,"pd.Series([10, 20, 30]).set_index(['A', 'B', 'C'])",
Option,0,"pd.Series(['A', 'B', 'C'], values=[10, 20, 30])",
Option,0,"pd.Series([10, 20, 30], labels=['A', 'B', 'C'])",

NewQuestion,MC,
QuestionText,"When you create a Series from a dictionary, what becomes the index?",
Option,0,"The dictionary values",
Option,0,"Sequential integers (0, 1, 2...)",
Option,100,"The dictionary keys",
Option,0,"Random unique identifiers",

NewQuestion,MC,
QuestionText,"When you print a Series, what appears on the LEFT side of the output?",
Option,0,"The data values",
Option,0,"The dtype",
Option,0,"The column names",
Option,100,"The index labels",

NewQuestion,MC,
QuestionText,"What is the main difference between a pandas Series and a NumPy array?",
Option,0,"Series are faster than arrays for all operations",
Option,0,"Series can hold mixed data types while arrays cannot",
Option,100,"Series have an index (labels) while arrays use only positions",
Option,0,"Series don't support vectorized operations",

NewQuestion,MC,
QuestionText,"What does the .iloc accessor use for selection in a Series?",
Option,0,"Index labels",
Option,0,"Column names",
Option,0,"Both positions and labels interchangeably",
Option,100,"Integer positions (0, 1, 2...)",

NewQuestion,MC,
QuestionText,"Given temps = pd.Series([70, 75, 80], index=['Mon', 'Tue', 'Wed']), which code returns the value 75?",
Option,0,"temps[1]",
Option,100,"temps['Tue']",
Option,0,"temps.iloc['Tue']",
Option,0,"temps.loc[1]",

NewQuestion,MC,
QuestionText,"What happens when you perform series + 10 on a pandas Series?",
Option,0,"Only the first element is increased by 10",
Option,0,"An error occurs (must use a loop)",
Option,100,"10 is added to every element at once (vectorized operation)",
Option,0,"The index labels are increased by 10",

NewQuestion,MC,
QuestionText,"Given temps = pd.Series([70, 75, 80, 85]), what type of object is temps[temps > 75]?",
Option,0,"A boolean Series with True/False values",
Option,0,"A NumPy array",
