NewQuestion,MC,
QuestionText,"When you run `with open(filename, "r", encoding="utf-8") as f:`, what does `"r"` mean?",
Option,0,"Write mode (overwrite the file)",
Option,0,"Append mode (add to the end of the file)",
Option,100,"Read mode (open the file for reading)",
Option,0,"Binary mode (read raw bytes)",

NewQuestion,MC,
QuestionText,"Why do we include `encoding="utf-8"` when opening a text file?",
Option,100,"It tells Python how to decode bytes into characters",
Option,0,"It makes the file smaller on disk",
Option,0,"It automatically removes extra whitespace",
Option,0,"It forces the file to be comma-separated (CSV)",

NewQuestion,MC,
QuestionText,"What does `f.read()` return when `f` is an open text file?",
Option,0,"A dictionary of column names to values",
Option,100,"One string containing the entire file contents",
Option,0,"A list of lines (one string per line)",
Option,0,"A generator that yields one line at a time",

NewQuestion,MC,
QuestionText,"Suppose you do: `lines = f.read().splitlines()` What is the type of `lines`?",
Option,0,"A dictionary",
Option,100,"A list of strings",
Option,0,"A single string",
Option,0,"A set of strings",

NewQuestion,MS,
QuestionText,"(Select all that apply.) Which of the following are common reasons to inspect a file's contents early in a data workflow?",
Option,1,"To confirm the header is present and looks correct",
Option,1,"To see what the rows actually look like before writing parsing code",
Option,1,"To identify obvious formatting issues (missing fields, strange separators, etc.)",
Option,0,"To permanently fix the file without writing code",
Option,1,"To verify your code is reading the expected file",

NewQuestion,MC,
QuestionText,"In a notebook, if `filename = "data/tiny_access_log.csv"` is a relative path, where will Python create/read that file?",
Option,100,"Relative to the current working directory (usually the folder where the notebook is running)",
Option,0,"Always in your home directory",
Option,0,"Always next to the Python interpreter executable",
Option,0,"Always inside the system temp folder",

NewQuestion,MC,
QuestionText,"What is the main benefit of using a `with open(...) as f:` block?",
Option,0,"It automatically converts CSV into dictionaries",
Option,100,"It ensures the file is closed properly when the block ends",
Option,0,"It prevents files from being created",
Option,0,"It guarantees the file has no errors",

NewQuestion,MS,
QuestionText,"(Select all that apply.) Which of the following statements correctly describe file mode `"w"`?",
Option,1,"If the file does not exist, it will be created",
Option,1,"If the file exists, its contents will be overwritten",
Option,1,"You can write text to the file in this mode",
Option,0,"It reads the file without changing it",
Option,0,"It automatically skips the header row",

NewQuestion,MC,
QuestionText,"In a CSV-style file, what is the typical purpose of the header row?",
Option,0,"It lists all possible users in the dataset",
Option,100,"It names the columns/fields in the dataset",
Option,0,"It stores the first data record",
Option,0,"It guarantees every row is valid",

NewQuestion,MC,
QuestionText,"In the workflow you practiced, what is the goal of parsing a row?",
Option,100,"Convert one line of text into a structured record with named fields",
Option,0,"Remove the header row from the file",
Option,0,"Turn a dictionary into a string",
Option,0,"Sort the rows by timestamp",

NewQuestion,MS,
QuestionText,"(Select all that apply.) In the parser, why do we do `parts = [p.strip() for p in line.split(",")]`?",
Option,1,"To split a single line into separate fields",
Option,1,"To remove extra whitespace around each field",
Option,1,"To produce a new list from the split fields",
Option,0,"To convert all fields into integers automatically",
Option,0,"To remove commas from the file itself",

NewQuestion,MC,
QuestionText,"What does this check protect against? `if len(parts) != 5: raise ValueError(...)`",
Option,100,"Rows with the wrong number of fields (missing or extra fields)",
Option,0,"Duplicate users",
Option,0,"Missing whitespace",
Option,0,"Rows with too many spaces",

NewQuestion,MC,
QuestionText,"Why does converting `status` and `ms` to integers count as validation?",
Option,0,"It sorts the data automatically",
Option,100,"It forces those fields to match the expected numeric type, or fail clearly if they don't",
Option,0,"It removes commas from the line",
Option,0,"It ensures the endpoint is valid",

NewQuestion,MC,
