NewQuestion,MC,
QuestionText,"What does the import convention `import matplotlib.pyplot as plt` establish?",,
Option,0,"It imports the entire matplotlib library including all submodules",",
Option,100,"It imports the pyplot submodule and binds it to the alias plt",",
Option,0,"It imports matplotlib and makes all functions available without a prefix",",
Option,0,"It imports only the Figure and Axes classes needed for plotting",",

NewQuestion,MC,
QuestionText,"What does the `%matplotlib inline` magic command do in a Jupyter notebook?",,
Option,100,"It configures the notebook to display plots directly beneath the cell that creates them",",
Option,0,"It imports matplotlib automatically without a separate import statement",",
Option,0,"It opens each plot in a separate interactive window",",
Option,0,"It sets the default figure size for all subsequent plots",",

NewQuestion,MC,
QuestionText,"In matplotlib, what is a Figure?",,
Option,0,"An individual plot with its own x-axis, y-axis, title, and data",",
Option,100,"The outermost container that holds one or more Axes objects",",
Option,0,"A method for creating and configuring subplot grids",",
Option,0,"The set of all axis labels and tick marks on a single plot",",

NewQuestion,MC,
QuestionText,"In matplotlib, what is an Axes object?",,
Option,0,"The label displayed along the x- or y-axis of a plot",",
Option,0,"A two-dimensional array of values used as input to a plot",",
Option,100,"An individual plot within a Figure, with its own x-axis, y-axis, title, and data",",
Option,0,"The outermost container for a figure and all its subplots",",

NewQuestion,MC,
QuestionText,"What does `fig, axes = plt.subplots(2, 3)` return?",,
Option,100,"A Figure and a 2x3 array of Axes objects",",
Option,0,"A single Figure with 2 rows and 3 columns, and one Axes object at position (2, 3)",",
Option,0,"A list of 6 separate Figure objects arranged in a grid",",
Option,0,"A Figure and a single Axes object with 6 subdivisions",",

NewQuestion,MC,
QuestionText,"What does the `figsize=(10, 4)` argument control when passed to `plt.subplots()`?",,
Option,100,"The width and height of the entire figure in inches",",
Option,0,"The number of rows and columns in the subplot grid",",
Option,0,"The resolution of the figure in dots per inch",",
Option,0,"The font size used for axis labels and the figure title",",

NewQuestion,MC,
QuestionText,"Which method sets the title of a single Axes object?",,
Option,0,"plt.title()",",
Option,0,"fig.set_title()",",
Option,0,"ax.add_title()",",
Option,100,"ax.set_title()",",

NewQuestion,MC,
QuestionText,"What does `plt.tight_layout()` do?",,
Option,100,"Automatically adjusts subplot spacing so that titles and labels do not overlap",",
Option,0,"Increases the figure size to fill the full available screen area",",
Option,0,"Locks the figure dimensions so they cannot be resized after creation",",
Option,0,"Removes all whitespace from around the outside of the figure",",

NewQuestion,MC,
QuestionText,"When saving a figure with `plt.savefig()`, when must it be called relative to `plt.show()`?",,
Option,0,"After plt.show(), so the figure is fully rendered before saving",",
Option,0,"Either order works; both methods access the same figure state",",
Option,100,"Before plt.show(), because plt.show() clears the figure from memory",",
Option,0,"plt.savefig() replaces plt.show() and the two should not be used together",",

NewQuestion,MC,
QuestionText,"What does passing `ax=ax` to a pandas plot method accomplish?",,
Option,100,"It directs the plot output to the specific Axes object created by plt.subplots()",",
Option,0,"It creates a new Axes object and assigns it to the variable ax",",
Option,0,"It applies default matplotlib axis styling to the plot",",
Option,0,"It sets axis labels for both x and y simultaneously",",

NewQuestion,MC,
QuestionText,"Which pandas plot method creates a vertical bar chart?",,
Option,0,"plot.barh()",",
Option,0,"plot.vbar()",",
Option,100,"plot.bar()",",
Option,0,"plot.bar(orient='v')",",

NewQuestion,MC,
QuestionText,"Which pandas plot method creates a horizontal bar chart?",,
Option,0,"plot.hbar()",",
Option,100,"plot.barh()",",
Option,0,"plot.bar(horizontal=True)",",
Option,0,"plot.bar(orient='h')",",

NewQuestion,MC,
QuestionText,"What does `ax.axvline(x=75)` draw on a plot?",,
Option,100,"A vertical line running the full height of the plot at x=75",",
Option,0,"A horizontal line running across the full width of the plot at y=75",",
Option,0,"An annotation arrow pointing to the value 75 on the x-axis",",
Option,0,"A vertical bar of height 75 positioned at the leftmost x value",",

NewQuestion,MC,
QuestionText,"What does the `bins=10` argument in `plot.hist()` control?",,
Option,0,"The height of each bar in the histogram",",
Option,0,"The number of data points shown in the histogram",",
Option,0,"The minimum and maximum values displayed on the x-axis",",
Option,100,"The number of equal-width intervals the data range is divided into",",

NewQuestion,MC,
QuestionText,"What does setting `alpha=0.6` do when drawing a plot element?",,
Option,0,"Reduces the dataset to a 60% random sample before plotting",",
Option,0,"Sets the line or bar width to 0.6 units",",
Option,100,"Makes the plot element partially transparent so that overlapping elements remain visible",",
Option,0,"Applies a smoothing factor of 0.6 to the data values before rendering",",

NewQuestion,MC,
QuestionText,"What does `edgecolor='white'` do when applied to a histogram?",,
Option,0,"Sets the background color of the plotting area to white",",
Option,0,"Changes the color of the axis lines surrounding the plot area",",
Option,100,"Draws thin white lines between histogram bars, making individual bins easier to distinguish",",
Option,0,"Colors all tick mark labels on both axes white",",

NewQuestion,MC,
QuestionText,"What does `plot.scatter()` require that `plot.bar()` and `plot.hist()` do not?",,
Option,0,"A color= argument specifying the marker color",",
Option,100,"Explicit x= and y= column name arguments",",
Option,0,"A DataFrame input rather than a Series",",
Option,0,"A figsize= argument to set the dimensions before plotting",",

NewQuestion,MC,
QuestionText,"What does the `s=` parameter control in `plot.scatter()`?",,
Option,0,"The step size between plotted points along the x-axis",",
Option,0,"The style of each marker (circles, squares, triangles)",",
Option,100,"The size of each point marker in the scatter plot",",
Option,0,"The saturation level of the marker color",",

NewQuestion,MC,
QuestionText,"What type of object does `sns.boxplot()` take as its `data=` argument?",,
Option,0,"A NumPy array of values to summarize",",
Option,0,"A tuple of (x_values, y_values) arrays",",
Option,0,"A list of column names to include in the plot",",
Option,100,"A DataFrame containing the columns referenced by x= and y=",",

NewQuestion,MC,
QuestionText,"What is the key interface difference between seaborn functions like `sns.boxplot()` and pandas plot methods like `df.plot.bar()`?",,
Option,0,"seaborn requires NumPy arrays while pandas plot methods accept DataFrames directly",",
Option,0,"pandas plot methods require an ax= argument while seaborn creates its own Figure automatically",",
Option,100,"seaborn accepts a DataFrame as data= and column name strings for x= and y=, while pandas plot methods are called directly on a DataFrame or Series",",
Option,0,"seaborn can only create statistical plots while pandas can produce any plot type",",

NewQuestion,MC,
QuestionText,"What does the `hue=` parameter add to a seaborn plot?",,
Option,0,"A color gradient applied across the range of x-axis values",",
Option,100,"A second grouping variable that assigns distinct colors to different categories within the plot",",
Option,0,"A transparency level applied uniformly to all plot elements",",
Option,0,"A reference line drawn at the mean value of the y variable",",

NewQuestion,MC,
QuestionText,"What does the `palette=` argument control in `sns.boxplot()`?",,
Option,0,"The statistical method used to compute box boundaries",",
Option,100,"The set of colors used to distinguish groups in the plot",",
Option,0,"The transparency of each box element in the plot",",
Option,0,"The width of each box relative to the spacing between groups",",

NewQuestion,MC,
QuestionText,"What does the `dpi=` argument control in `plt.savefig()`?",,
Option,100,"The resolution of the saved figure in dots per inch",",
Option,0,"The file format of the saved figure (png, pdf, svg)",",
Option,0,"The color depth of the saved image in bits per pixel",",
Option,0,"The dimensions of the saved figure in inches",",

NewQuestion,MC,
QuestionText,"What does `bbox_inches='tight'` do in `plt.savefig()`?",,
Option,0,"Expands the saved figure to fill a full standard page size",",
Option,0,"Locks the bounding box to a fixed size regardless of content",",
Option,0,"Adds a thin border around the outside edge of the saved figure",",
Option,100,"Trims excess whitespace around the edges of the saved figure",",

NewQuestion,MC,
QuestionText,"What is the key difference between saving a figure as .png versus .svg?",,
Option,0,".png supports transparency while .svg does not",",
Option,0,".svg files are always smaller in file size than .png files",",
Option,0,".png is preferred for print while .svg is only suitable for screen display",",
Option,100,".png is a raster format with fixed resolution; .svg is a vector format that scales without quality loss",",

NewQuestion,MC,
QuestionText,"What is the difference between `ax.set_title()` and `plt.suptitle()`?",,
Option,0,"ax.set_title() sets a title for the entire Figure; plt.suptitle() sets a title for a single Axes",",
Option,100,"ax.set_title() sets a title for a single Axes; plt.suptitle() sets a title for the entire Figure, appearing above all subplots",",
Option,0,"The two methods produce identical results in all figure configurations",",
Option,0,"plt.suptitle() is the preferred method for all cases; ax.set_title() is deprecated",",

NewQuestion,MC,
QuestionText,"Which plot type is most appropriate for comparing a single summary value (such as a count or average) across discrete categories?",,
Option,0,"Histogram",",
Option,0,"Scatter plot",",
Option,0,"Line plot",",
Option,100,"Bar chart",",

NewQuestion,MC,
QuestionText,"Which plot type shows the full distribution of a single continuous numeric variable as a frequency count across value ranges?",,
Option,0,"Bar chart",",
Option,0,"Scatter plot",",
Option,100,"Histogram",",
Option,0,"Line plot",",

NewQuestion,MC,
QuestionText,"Which seaborn functions do NOT accept an `ax=` parameter and therefore cannot be integrated directly into a matplotlib subplot layout?",,
Option,0,"sns.boxplot() and sns.histplot()",",
Option,100,"sns.relplot() and sns.catplot()",",
Option,0,"sns.scatterplot() and sns.barplot()",",
Option,0,"All seaborn functions accept an ax= parameter",",

NewQuestion,MC,
QuestionText,"What does `plt.style.use('ggplot')` do?",,
Option,0,"Imports the ggplot2 library from R and applies its settings to matplotlib",",
Option,0,"Converts the current figure to a ggplot-compatible format for export",",
Option,0,"Sets the y-axis to a logarithmic scale to match ggplot's default rendering",",
Option,100,"Applies a predefined visual theme that changes colors, line widths, and background style for all subsequent plots",",

