NewQuestion,MC,
QuestionText,"What is the primary advantage of NumPy arrays over Python lists for numerical computations?",
Option,0,"Arrays can store mixed data types",
Option,0,"Arrays are easier to create",
Option,100,"Arrays enable vectorized operations that are 10-100x faster",
Option,0,"Arrays use more memory but are more flexible",

NewQuestion,MC,
QuestionText,"What does vectorization mean in the context of NumPy?",
Option,0,"Converting lists to arrays",
Option,100,"Applying operations to entire arrays at once without explicit loops",
Option,0,"Creating multidimensional arrays",
Option,0,"Using vector mathematics from linear algebra",

NewQuestion,MC,
QuestionText,"Which statement best describes an ndarray?",
Option,0,"A Python list optimized for numerical data",
Option,100,"An n-dimensional container for homogeneous data that enables fast operations",
Option,0,"A data structure that can hold mixed types efficiently",
Option,0,"A specialized dictionary for numerical keys",

NewQuestion,MC,
QuestionText,"Why are NumPy operations faster than equivalent Python loops?",
Option,100,"NumPy operations execute in compiled C code",
Option,0,"NumPy uses parallel processing automatically",
Option,0,"NumPy caches all results in memory",
Option,0,"NumPy skips type checking entirely",

NewQuestion,MS,
QuestionText,"Which of the following are characteristics of NumPy arrays? (Select all that apply)",
Option,1,"All elements must have the same data type",
Option,1,"Operations are optimized for numerical computation",
Option,0,"Elements can be added or removed dynamically like lists",
Option,1,"Memory layout is contiguous and efficient",

NewQuestion,MC,
QuestionText,"What does it mean that NumPy arrays are homogeneous?",
Option,0,"All arrays have the same shape",
Option,0,"All operations produce the same result",
Option,100,"All elements in an array must be the same data type",
Option,0,"All arrays use the same amount of memory",

NewQuestion,MC,
QuestionText,"In the context of scientific computing, why is NumPy considered foundational?",
Option,0,"It was the first Python library ever created",
Option,100,"Libraries like pandas, matplotlib, and scikit-learn are built on NumPy arrays",
Option,0,"NumPy replaces the need for all other libraries",
Option,0,"NumPy is required to run Python",

NewQuestion,MC,
QuestionText,"Which statement about NumPy arrays and Python lists is TRUE?",
Option,0,"Lists are always faster for mathematical operations",
Option,0,"Arrays can hold mixed data types like lists",
Option,0,"Lists use less memory than arrays",
Option,100,"Arrays support element-wise operations without loops",

NewQuestion,MC,
QuestionText,"What does np.array([1, 2, 3, 4]) create?",
Option,100,"A 1-dimensional NumPy array with 4 elements",
Option,0,"A 2-dimensional array with 1 row and 4 columns",
Option,0,"A Python list converted to a NumPy object",
Option,0,"A 4-dimensional array with 1 element each",

NewQuestion,MC,
QuestionText,"Which function would you use to create a 3x3 array filled with zeros?",
Option,0,"np.empty(3, 3)",
Option,0,"np.zero(3, 3)",
Option,100,"np.zeros((3, 3))",
Option,0,"np.array([[0, 0, 0]] * 3)",

NewQuestion,MC,
QuestionText,"What is the difference between np.arange(0, 10, 2) and np.linspace(0, 10, 5)?",
Option,0,"arange creates floats, linspace creates integers",
Option,100,"arange uses a step size, linspace specifies number of points",
Option,0,"arange includes the endpoint, linspace does not",
Option,0,"They produce identical results",

NewQuestion,MC,
QuestionText,"Which method creates a 2x2 identity matrix?",
Option,0,"np.ones((2, 2))",
Option,0,"np.diag([1, 1])",
Option,100,"np.eye(2)",
Option,0,"np.identity(2, 2)",

NewQuestion,MS,
QuestionText,"Which functions create arrays without initializing values to a specific number? (Select all that apply)",
Option,1,"np.empty()",
Option,0,"np.zeros()",
Option,1,"np.empty_like()",
Option,0,"np.ones()",

NewQuestion,MC,
QuestionText,"When would you use np.linspace instead of np.arange?",
Option,0,"When you need integer values",
Option,100,"When you need exactly n evenly-spaced values including endpoints",
Option,0,"When you need to exclude the endpoint",
Option,0,"When you want faster performance",

NewQuestion,MC,
QuestionText,"What is a dtype in NumPy?",
Option,0,"The dimensions of an array",
Option,100,"The data type of elements in an array",
Option,0,"The shape attribute of an array",
Option,0,"The total number of elements",

NewQuestion,MC,
QuestionText,"What happens when you create an array from [1, 2, 3.5]?",
Option,0,"NumPy raises an error because of mixed types",
Option,0,"The array stores elements as integers, truncating 3.5 to 3",
Option,100,"NumPy converts all elements to float64",
Option,0,"NumPy creates a mixed-type array",

NewQuestion,MS,
QuestionText,"Why do dtypes matter in NumPy? (Select all that apply)",
Option,1,"They determine how much memory each element uses",
Option,1,"They affect what operations are valid",
Option,0,"They control the speed of array creation",
Option,1,"They determine precision and range of values",

NewQuestion,MC,
QuestionText,"How can you change the dtype of an existing array?",
Option,0,"Modify the array.dtype attribute directly",
Option,100,"Use the astype() method to create a new array",
Option,0,"Use the convert() function",
Option,0,"Dtypes cannot be changed after creation",

NewQuestion,MC,
QuestionText,"Given arr = np.array([10, 20, 30, 40, 50]), what is arr[1:4]?",
Option,0,"[10, 20, 30]",
Option,100,"[20, 30, 40]",
Option,0,"[20, 30, 40, 50]",
Option,0,"[30, 40, 50]",

NewQuestion,MC,
QuestionText,"For a 2D array, what does arr[1, 2] access?",
Option,0,"The entire row 1 and entire column 2",
Option,0,"The first element of the second row",
Option,100,"The element at row 1, column 2",
Option,0,"A 2x2 subarray starting at position (1, 2)",

NewQuestion,MC,
QuestionText,"What is the critical difference between NumPy slices and Python list slices?",
Option,0,"NumPy slices are always faster",
Option,0,"NumPy slices can access multiple dimensions",
Option,0,"NumPy slices return smaller portions",
Option,100,"NumPy slices are views that share memory with the original array",

NewQuestion,MC,
QuestionText,"Given arr = np.array([5, 10, 15, 20]), if you execute slice_arr = arr[1:3] and then slice_arr[0] = 999, what happens to arr?",
Option,0,"arr remains unchanged: [5, 10, 15, 20]",
Option,100,"arr is modified: [5, 999, 15, 20]",
Option,0,"NumPy raises an error",
Option,0,"Only slice_arr changes",

NewQuestion,MC,
QuestionText,"How do you create an independent copy of an array slice?",
Option,0,"Use the slice() function",
Option,0,"Use double brackets: arr[[1:3]]",
Option,100,"Use the copy() method: arr[1:3].copy()",
Option,0,"Slices are always independent copies",

NewQuestion,MC,
QuestionText,"For a 2D array arr with shape (4, 3), what does arr[:, 1] return?",
Option,0,"The first row",
Option,100,"The second column as a 1D array",
Option,0,"A 2D array with one column",
Option,0,"An error because the syntax is invalid",

NewQuestion,MS,
QuestionText,"Which statements about array indexing are TRUE? (Select all that apply)",
Option,1,"Negative indices count from the end of the array",
Option,1,"Slicing creates a view, not a copy",
Option,0,"You must always specify all dimensions when indexing",
Option,1,"Modifying a view modifies the original array",

NewQuestion,MC,
QuestionText,"Given arr = np.array([10, 25, 30, 15, 40]), what is arr[arr > 20]?",
Option,0,"[False, True, True, False, True]",
Option,100,"[25, 30, 40]",
Option,0,"[1, 2, 4]",
Option,0,"[10, 15]",

NewQuestion,MC,
QuestionText,"What does the expression arr > 5 produce when arr is a NumPy array?",
Option,0,"A single True or False value",
Option,0,"A list of indices where the condition is true",
Option,100,"A boolean array with True/False for each element",
Option,0,"A filtered array with only values greater than 5",

NewQuestion,MC,
QuestionText,"How do you combine multiple conditions in boolean indexing?",
Option,0,"Use 'and' and 'or' keywords",
Option,100,"Use & for AND, | for OR, with parentheses around each condition",
Option,0,"Use + for AND, * for OR",
Option,0,"Chain multiple bracket operations",

NewQuestion,MC,
QuestionText,"What replaces the need for loops with if-statements in NumPy?",
Option,0,"Vectorized arithmetic",
Option,0,"List comprehensions",
Option,100,"Boolean indexing",
Option,0,"Universal functions",

NewQuestion,MC,
QuestionText,"Given arr = np.array([5, 15, 25, 35]), which expression selects values between 10 and 30?",
Option,0,"arr[arr > 10 and arr < 30]",
Option,0,"arr[10 < arr < 30]",
Option,100,"arr[(arr > 10) & (arr < 30)]",
Option,0,"arr[arr > 10 | arr < 30]",

NewQuestion,MS,
QuestionText,"Which operations can be performed with boolean arrays? (Select all that apply)",
Option,1,"Using them as indices to filter arrays",
Option,1,"Using & and | for logical operations",
Option,1,"Counting True values with sum()",
Option,0,"Adding them like regular numbers to get totals",

NewQuestion,MC,
QuestionText,"Given arr = np.array([1, 2, 3, 4]), what is arr * 2?",
Option,0,"[1, 2, 3, 4, 1, 2, 3, 4]",
Option,100,"[2, 4, 6, 8]",
Option,0,"20",
Option,0,"An error because you can't multiply an array by a scalar",

NewQuestion,MC,
